ID;Datum;Name;Beschreibung;Typ;IMP;PRB;MAG;Owner;Gegenmaßnahme
1;05.12.2023;Teammitglied fällt aus;Mitglied des Teams kann (dauerhaft oder zeitweise) nicht mehr am Projekt teilnehmen; Ressourcen;4;20%;0,8;Projektmanagement;Backup-Rollen nutzen und Know-How zwischen diesen Personen kontinuierlich teilen
2;05.12.2023;Kommunikation;Entstehung von Redundanzen und Missverständnissen durch fehlende Absprachen-;Geschäftlich;4;50%;2;Projektmanagement und Team;Absprachen bzw. bereits erledigte Schritte auf Notion, Git Hub oder Protokoll festhalten. Sollte es zu dringenden Problemen kommen, so kann eine direkte Rücksprache mit den Teammitglieder, Coach oder anderen Ansprechpartnern getroffen werden.
3;05.12.2023;Fehlende Managmenttechniken;Keine klare und stukturierte Vorgehensweise in der Projektplanung und Projektdurchführung;geschäftlich;4;50%;2;Projektmanagement;Testen einer agil geprägten Arbeitsweise. Regelmäßig stattfindene Teammeetings mit Auswertung der letzten Iteration und einer offenen Feedbackkultur
4;05.12.2023;Fehlende zeitliche Ressourcen;Die zeitliche Kapazität der Teammitglieder wird durch das Studium und anderweitige Verpflichtungen unvorhersehbar beschränkt;geschäftlich und zeitlich;3;80%;2,4;Projektmanagment;Kurze Iterationsplanung von maximal 2 Wochen
5;05.12.2023;Einsatz unbekannter Tools;Es werden neue Tools für die Projektarbeit eingesetz (zb. GitHub, Visual Paradigm), mit welchen die Teammitglieder noch keine bis wenige Erfahrungen gesammelt haben;technisch;2;40%;0,8;Projektmanagment;Testen des Dokumentationstools für Angular
6;05.12.2023;Fehlendes Fachwissen(Know-How);Es fehlt die nötige Erfahrung und das dazugehörige Wissen um eine Aufgabe effizient lösen zu können;Ressource;3;80%;2,4;Alle Teammitglieder, insbesondere das Projektmanagment;Erstellung von Fähigkeitsprofilen, snnvolle Aufteilung von Kompetenzen, ggf. Umstrukturierung der Projektrollen
7;05.12.2023;Keine Unterstützung der Architektur;Die geplante Architektur lässt sich im reellen Gebrauch nicht realisieren;technisch;5;30%;1,5;Architekt;Einsatz bewährt und moderner Tools sowie Systemkpomponenten unter Einhaltung offizieller Standards
8;05.12.2023;Unklare NFA;Schwammige Formulierung der NFA, daher kein sinnvolles Testen möglich;geschäftlich;4;-;-;Analyst;Überarbeitung und Konkretisierung der NFA
9;05.12.2023;Fehlendes fachliches Verständnis für die Architektur;Es fehlt ein gemeinsames fachliches Verständnis für die Umsetzung der geplanten Architektur mit den dafür erforderlichen Frameworks;geschäftlich;3;-;-;Architekt;Erstellung eines Diagrammes zur Verdeutlichung der geplanten Umsetzung und dem Zusammenspiel der einzelnen technischen Komponenten (Server, Docker, Schnittstellen, etc.)
10;05.12.2023;Missverständliche Kommunikation mit dem Auftraggeber;Das Verständnis zwischen Auftraggeber und Projektteam zeigt Differenzen auf;geschäftlich;3;-;-;Projektmanagment;Klärendes Gespräch zwischen Auftraggeber und dem Projektmanagment
11;05.12.2023;Einzelkompetenz;Ein Teammitglied verügt über spezifisches Einzelwissen, dass nur er alleine anwenden kann. Zb. über die Programmierung des Frontend's mittels Angular als Framework;technisch;4;-;-;Projektmanagment;Code-Review für das Frontend und Erklärung der Umsetzung mittels Angular
12;05.12.2023;Zeitplan;Es ist unsicher, ob der knappe Zeitplan für das Projektende eingehalten werden kann;zeitlich;3;-;-;Projektmanagment;Absprache mit Coach und Auftraggeber treffen
